day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
29,3,2020,1850,64,Belgium,BE,BEL,11422068
28,3,2020,1049,69,Belgium,BE,BEL,11422068
27,3,2020,1298,42,Belgium,BE,BEL,11422068
26,3,2020,668,56,Belgium,BE,BEL,11422068
25,3,2020,526,34,Belgium,BE,BEL,11422068
24,3,2020,342,13,Belgium,BE,BEL,11422068
23,3,2020,586,8,Belgium,BE,BEL,11422068
22,3,2020,558,30,Belgium,BE,BEL,11422068
21,3,2020,462,16,Belgium,BE,BEL,11422068
20,3,2020,309,7,Belgium,BE,BEL,11422068
19,3,2020,243,9,Belgium,BE,BEL,11422068
18,3,2020,158,0,Belgium,BE,BEL,11422068
17,3,2020,199,1,Belgium,BE,BEL,11422068
16,3,2020,197,0,Belgium,BE,BEL,11422068
15,3,2020,130,1,Belgium,BE,BEL,11422068
14,3,2020,160,0,Belgium,BE,BEL,11422068
13,3,2020,85,0,Belgium,BE,BEL,11422068
12,3,2020,47,3,Belgium,BE,BEL,11422068
11,3,2020,28,0,Belgium,BE,BEL,11422068
10,3,2020,39,0,Belgium,BE,BEL,11422068
9,3,2020,31,0,Belgium,BE,BEL,11422068
8,3,2020,60,0,Belgium,BE,BEL,11422068
7,3,2020,59,0,Belgium,BE,BEL,11422068
6,3,2020,27,0,Belgium,BE,BEL,11422068
5,3,2020,10,0,Belgium,BE,BEL,11422068
4,3,2020,5,0,Belgium,BE,BEL,11422068
3,3,2020,6,0,Belgium,BE,BEL,11422068
2,3,2020,1,0,Belgium,BE,BEL,11422068
1,3,2020,0,0,Belgium,BE,BEL,11422068
29,2,2020,0,0,Belgium,BE,BEL,11422068
28,2,2020,0,0,Belgium,BE,BEL,11422068
27,2,2020,0,0,Belgium,BE,BEL,11422068
26,2,2020,0,0,Belgium,BE,BEL,11422068
25,2,2020,0,0,Belgium,BE,BEL,11422068
24,2,2020,0,0,Belgium,BE,BEL,11422068
23,2,2020,0,0,Belgium,BE,BEL,11422068
22,2,2020,0,0,Belgium,BE,BEL,11422068
21,2,2020,0,0,Belgium,BE,BEL,11422068
20,2,2020,0,0,Belgium,BE,BEL,11422068
19,2,2020,0,0,Belgium,BE,BEL,11422068
18,2,2020,0,0,Belgium,BE,BEL,11422068
17,2,2020,0,0,Belgium,BE,BEL,11422068
16,2,2020,0,0,Belgium,BE,BEL,11422068
15,2,2020,0,0,Belgium,BE,BEL,11422068
14,2,2020,0,0,Belgium,BE,BEL,11422068
13,2,2020,0,0,Belgium,BE,BEL,11422068
12,2,2020,0,0,Belgium,BE,BEL,11422068
11,2,2020,0,0,Belgium,BE,BEL,11422068
10,2,2020,0,0,Belgium,BE,BEL,11422068
9,2,2020,0,0,Belgium,BE,BEL,11422068
8,2,2020,0,0,Belgium,BE,BEL,11422068
7,2,2020,0,0,Belgium,BE,BEL,11422068
6,2,2020,0,0,Belgium,BE,BEL,11422068
5,2,2020,0,0,Belgium,BE,BEL,11422068
4,2,2020,1,0,Belgium,BE,BEL,11422068
3,2,2020,0,0,Belgium,BE,BEL,11422068
2,2,2020,0,0,Belgium,BE,BEL,11422068
1,2,2020,0,0,Belgium,BE,BEL,11422068
31,1,2020,0,0,Belgium,BE,BEL,11422068
30,1,2020,0,0,Belgium,BE,BEL,11422068
29,1,2020,0,0,Belgium,BE,BEL,11422068
28,1,2020,0,0,Belgium,BE,BEL,11422068
27,1,2020,0,0,Belgium,BE,BEL,11422068
26,1,2020,0,0,Belgium,BE,BEL,11422068
25,1,2020,0,0,Belgium,BE,BEL,11422068
24,1,2020,0,0,Belgium,BE,BEL,11422068
23,1,2020,0,0,Belgium,BE,BEL,11422068
22,1,2020,0,0,Belgium,BE,BEL,11422068
21,1,2020,0,0,Belgium,BE,BEL,11422068
20,1,2020,0,0,Belgium,BE,BEL,11422068
19,1,2020,0,0,Belgium,BE,BEL,11422068
18,1,2020,0,0,Belgium,BE,BEL,11422068
17,1,2020,0,0,Belgium,BE,BEL,11422068
16,1,2020,0,0,Belgium,BE,BEL,11422068
15,1,2020,0,0,Belgium,BE,BEL,11422068
14,1,2020,0,0,Belgium,BE,BEL,11422068
13,1,2020,0,0,Belgium,BE,BEL,11422068
12,1,2020,0,0,Belgium,BE,BEL,11422068
11,1,2020,0,0,Belgium,BE,BEL,11422068
10,1,2020,0,0,Belgium,BE,BEL,11422068
9,1,2020,0,0,Belgium,BE,BEL,11422068
8,1,2020,0,0,Belgium,BE,BEL,11422068
7,1,2020,0,0,Belgium,BE,BEL,11422068
6,1,2020,0,0,Belgium,BE,BEL,11422068
5,1,2020,0,0,Belgium,BE,BEL,11422068
4,1,2020,0,0,Belgium,BE,BEL,11422068
3,1,2020,0,0,Belgium,BE,BEL,11422068
2,1,2020,0,0,Belgium,BE,BEL,11422068
1,1,2020,0,0,Belgium,BE,BEL,11422068
31,12,2019,0,0,Belgium,BE,BEL,11422068
